Car name,Description,Mileage,Price,Colour,Link
2021 Jeep Wrangler,Willys Unlimited 4x4,8KM,"$54,268",Black,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6151746/
2021 Lexus UX,250h F Sport Series 2,90KM,"$51,372",Obsidian,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-ux-6151722/
2020 Ford Fusion,Hybrid Titanium,"31,286KM","$24,990",White,https://www.carpages.ca/used-cars/alberta/calgary/2020-ford-fusion-6151674/
2019 Ford Fusion,"Hybrid Titanium LEATHER, SUNROOF, HEATED SEATS, BEAUTY!!","39,800KM","$21,995",Blue,https://www.carpages.ca/used-cars/ontario/north-bay/2019-ford-fusion-6151605/
2019 Ford Fusion,Hybrid Titanium *Adaptive Cruise Control *Heated Steering Wheel *Apple CarPlay,"49,594KM","$22,800",White,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-ford-fusion-6151434/
2020 Ford Escape,Titanium Hybrid,20KM,"$43,049",STAR WHITE MET TRI-COAT,https://www.carpages.ca/new-cars/ontario/mississauga/2020-ford-escape-6151065/
2018 Ford F-150,XLT,"74,782KM","$36,999",Oxford White,https://www.carpages.ca/used-cars/ontario/ottawa/2018-ford-f-150-6150996/
2021 Ford Explorer,LIMITED,CALL,"$56,892",Agate Black,https://www.carpages.ca/new-cars/ontario/mississauga/2021-ford-explorer-6150795/
2017 Kia NIRO,EX,"27,101KM","$19,995",Black,https://www.carpages.ca/used-cars/prince-edward-island/charlottetown/2017-kia-niro-6150624/
2021 Mercedes-Benz GLE,GLE 450,90KM,"$101,614",Obsidian Black Met,https://www.carpages.ca/new-cars/ontario/sudbury/2021-mercedes-benz-gle-6150549/
2021 Ford Explorer,LIMITED,10KM,"$58,951",STAR WHITE METALLIC TRI-COAT,https://www.carpages.ca/new-cars/ontario/oakville/2021-ford-explorer-6150513/
2017 Volvo XC90,Hybrid T8 INSCRISPTION I PANO I NAVI I 20 INCH WHEELS,"75,876KM","$42,910",White,https://www.carpages.ca/used-cars/ontario/vaughan/2017-volvo-xc90-6148932/
2018 Lexus ES 300,h LUXURY PKG NAVI REAR VIEW CAM BSM,"63,309KM","$33,888",Black,https://www.carpages.ca/used-cars/ontario/north-york/2018-lexus-es-300-6145680/
2017 Volkswagen Golf,e-Golf e-GOLF!! FULLY ELECTRIC!!!,"21,443KM","$25,000",White,https://www.carpages.ca/used-cars/ontario/pickering/2017-volkswagen-golf-6145029/
2017 Ford Fusion,Titanium  - Leather Seats -  Bluetooth - $122 B/W,"107,381KM","$17,898",Magnetic Grey,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2017-ford-fusion-6144567/
2014 BMW i3,RANGE EXTENDER | ACCIDENT FREE | CERTIFIED | FINANCE @ 4.65%,"44,665KM","$20,777",,https://www.carpages.ca/used-cars/ontario/oakville/2014-bmw-i3-6144096/
2021 Toyota RAV4,Hybrid XLE  - Sunroof,CALL,"$38,153",Ruby Flare Pearl,https://www.carpages.ca/new-cars/manitoba/steinbach/2021-toyota-rav4-6142941/
2020 Toyota Prius,"Prime Toyota Safety Sense, Reverse Camera, Keyless Entry, Heated Seats, Apple CarPlay & More!","64,000KM","$26,495",Silver,https://www.carpages.ca/used-cars/ontario/guelph/2020-toyota-prius-6142737/
2019 Hyundai IONIQ,"Electric Plus Preferred Hatchback - ONE OWNER, CLEAN CARFAX!","19,572KM","$24,980",Black,https://www.carpages.ca/used-cars/ontario/oakville/2019-hyundai-ioniq-6142644/
2020 Mercedes-Benz GLS,450 4MATIC Panoramic Roof Burmester Audio,"16,337KM","$96,788",Black,https://www.carpages.ca/used-cars/ontario/thornhill/2020-mercedes-benz-gls-6142584/
2014 Kia Optima,Hybrid EX Sunroof | Heated Seats and Steering | Backup Camera,"112,000KM","$12,995",Grey,https://www.carpages.ca/used-cars/ontario/waterloo/2014-kia-optima-6142539/
2018 Kia NIRO,L,"77,507KM","$19,990",Black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2018-kia-niro-6142380/
2020 Honda Accord,Hybrid Touring CVT,"4,523KM","$38,500",White,https://www.carpages.ca/used-cars/ontario/whitby/2020-honda-accord-6141993/
2019 Ford Fusion,"Hybrid SEL LEATHER, SUNROOF, NAV, HEATED SEATS, WOW!!","48,347KM","$20,495",Dark Grey,https://www.carpages.ca/used-cars/ontario/richmond/2019-ford-fusion-6141852/
2017 Ford C-MAX,Hybrid - AUTO! SYNC! REVERSE CAM! ALLOYS! + MORE!,"103,155KM","$14,495",Grey,https://www.carpages.ca/used-cars/ontario/belleville/2017-ford-c-max-6141660/
2018 Toyota Prius,"Prime Upgrade - PLUG IN HYBRID! NAV! REVERSE CAM! + ONLY 22,000KMS!","22,276KM","$27,995",Grey,https://www.carpages.ca/used-cars/ontario/belleville/2018-toyota-prius-6141636/
2015 Chevrolet Spark,EV 2LT CUIR MAGS Véhicule électrique agile en ville et à prix abordable!,"91,668KM","$11,478",Noir,https://www.carpages.ca/used-cars/quebec/shawinigan/2015-chevrolet-spark-6141477/
2017 Ford C-MAX,SE,"37,874KM","$17,994",Gold,https://www.carpages.ca/used-cars/ontario/kingston/2017-ford-c-max-6141387/
2020 Ford Escape,Titanium Hybrid,20KM,"$40,149",Agate Black Metallic,https://www.carpages.ca/new-cars/ontario/mississauga/2020-ford-escape-6141150/
2018 Ford F-150,XLT,"22,417KM","$37,799",SHADOW BLACK,https://www.carpages.ca/used-cars/ontario/new-hamburg/2018-ford-f-150-6141117/
2020 Kia NIRO,EX,28KM,"$31,390",Gravity Blue,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2020-kia-niro-6140802/
2020 Kia NIRO,L,35KM,"$28,990",Aurora Black,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2020-kia-niro-6140790/
2015 Nissan Leaf,Voiture à hayon modèle S à 4 portes,"77,605KM","$12,495",Rouge,https://www.carpages.ca/used-cars/quebec/riviere-du-loup/2015-nissan-leaf-6140460/
2017 Nissan Leaf,SV  - Navigation -  Bluetooth - $137 B/W,"25,481KM","$19,995",Deep Blue Pearl,https://www.carpages.ca/used-cars/ontario/orleans/2017-nissan-leaf-6140148/
2015 Tesla Model S,70D | CLEAN CARFAX | NAV | PANO ROOF | 102K KM,"102,205KM","$47,950",Blue,https://www.carpages.ca/used-cars/ontario/georgetown/2015-tesla-model-s-6140064/
2021 Hyundai KONA,Electric Preferred w/ Two-tone,CALL,"$49,389",Chalk Wht/blk,https://www.carpages.ca/new-cars/ontario/kanata/2021-hyundai-kona-6140016/
2021 Hyundai KONA,Electric Preferred w/ Two-tone,CALL,"$49,389",Chalk Wht/blk,https://www.carpages.ca/new-cars/ontario/kanata/2021-hyundai-kona-6140013/
2021 Toyota Corolla,Hybrid,10KM,"$29,050",0070 BLIZZARD PEARL NO CHARGE,https://www.carpages.ca/new-cars/ontario/whitby/2021-toyota-corolla-6139308/
2019 Hyundai IONIQ,Électrique Ultimate Navigation - Toit Ouvrant - A/C - Cuir,"61,967KM","$24,491",Black,https://www.carpages.ca/used-cars/quebec/laval/2019-hyundai-ioniq-6139254/
2019 Nissan Leaf,SL - BLIND SPOT DETECTION STEERING ASSIST NAVIGATION,"19,647KM","$33,395",Red,https://www.carpages.ca/used-cars/british-columbia/victoria/2019-nissan-leaf-6138600/
2018 Lexus RX,RX 450hL,"33,000KM","$54,988",White,https://www.carpages.ca/used-cars/ontario/toronto/2018-lexus-rx-6138144/
2021 Jeep Wrangler,Rubicon | Removeable Hard Top | Blind-Spot Det. |,21KM,"$64,011",Sarge Green,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6136842/
2019 Toyota Highlander,Hybrid Limited,"22,366KM","$47,999",White,https://www.carpages.ca/used-cars/ontario/renfrew/2019-toyota-highlander-6136635/
2021 Audi RS 4,Q8,90KM,"$146,372",Glacier White,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-audi-rs-4-6134448/
2014 Ford F-150,XLT,"164,325KM","$21,999",Pale Adobe Metallic,https://www.carpages.ca/used-cars/ontario/new-hamburg/2014-ford-f-150-6134103/
2018 Ford Fusion,ENERGI SE,"25,836KM","$20,887",MAGNETIC MET,https://www.carpages.ca/used-cars/ontario/mississauga/2018-ford-fusion-6133920/
2020 Ford Fusion,Titanium Hybrid,"51,217KM","$23,089",Magnetic Metallic,https://www.carpages.ca/used-cars/ontario/mississauga/2020-ford-fusion-6133875/
2017 Toyota RAV4,Hybrid LE+,"71,556KM","$26,887",Super White,https://www.carpages.ca/used-cars/new-brunswick/moncton/2017-toyota-rav4-6132726/
2016 Tesla Model X,- AUTO PILOT|NAVI|BACKUP|HEATED&COOLING SEATS,"73,000KM","$79,995",White,https://www.carpages.ca/used-cars/ontario/north-york/2016-tesla-model-x-6132468/
2017 Chevrolet Volt,"LT - Electric, Leather Interior, Back-Up Camera","34,518KM","$26,995",White,https://www.carpages.ca/used-cars/british-columbia/courtenay/2017-chevrolet-volt-6132237/
2013 Toyota Prius,Base,"98,110KM","$12,990",White,https://www.carpages.ca/used-cars/ontario/scarborough/2013-toyota-prius-6132165/
2019 Mercedes-Benz E-Class,AMG E 53,"26,000KM","$81,888",Black,https://www.carpages.ca/used-cars/ontario/north-york/2019-mercedes-benz-e-class-6131733/
2020 Porsche Taycan,4S,2KM,"$156,885",White,https://www.carpages.ca/new-cars/alberta/edmonton/2020-porsche-taycan-6131514/
2016 Toyota Prius,Hybrid,"139,322KM","$15,995",Silver,https://www.carpages.ca/used-cars/nova-scotia/yarmouth/2016-toyota-prius-6131106/
2019 Lexus ES,ES 300h VENT-LEATHER NAV ALLOYS SUNROOF 1-OWNER,"19,500KM","$45,472",Black,https://www.carpages.ca/used-cars/ontario/north-york/2019-lexus-es-6129813/
2018 Hyundai IONIQ,Electric Plus Hybride Rechargeable **Autonomie 1047KM*,"32,350KM","$22,995",Noir,https://www.carpages.ca/used-cars/quebec/val-david/2018-hyundai-ioniq-6129486/
2016 Infiniti Q50,HYBRID AWD - NAVI - SUNROOF - TECH PKG,"62,000KM","$26,488",Gray,https://www.carpages.ca/used-cars/ontario/oakville/2016-infiniti-q50-6129450/
2018 Ford Fusion,Energi SE LUXURY**PLUG IN**GPS+TOIT OUVRANT**,"52,695KM","$17,999",Blanc,https://www.carpages.ca/used-cars/quebec/charlesbourg/2018-ford-fusion-6129057/
2015 Chrysler 200,LX,"88,800KM","$11,599",Black,https://www.carpages.ca/used-cars/ontario/kingston/2015-chrysler-200-6129021/
2018 Ford Focus,SEL,"24,500KM","$15,995",Magnetic Metallic,https://www.carpages.ca/used-cars/ontario/new-hamburg/2018-ford-focus-6128760/
2017 Chevrolet Bolt,EV LT MAGS BLUETOOTH CAMÉRA DE RECUL,"52,000KM","$23,995",Bleu,https://www.carpages.ca/used-cars/quebec/shawinigan/2017-chevrolet-bolt-6128427/
2017 Chevrolet Bolt,EV LT MAGS BLUETOOTH CAMÉRA,"39,000KM","$23,995",Gris,https://www.carpages.ca/used-cars/quebec/shawinigan/2017-chevrolet-bolt-6128370/
2019 Chevrolet Volt,LT CUIR MAGS BLUETOOTH CAMÉRA *Bas Kilométrage*,"21,000KM","$27,995",Blanc,https://www.carpages.ca/used-cars/quebec/shawinigan/2019-chevrolet-volt-6128364/
2016 Tesla Model S,"90D AUTOPILOT, AIR, HIFI, CARFAX CLEAN!","50,702KM","$65,700",Black,https://www.carpages.ca/used-cars/ontario/burlington/2016-tesla-model-s-6128022/
2017 Chevrolet Bolt,EV PREMIER - ELECTRIC LEATHER INTERIOR BLIND SPOT DETECTION,"21,886KM","$28,999",Red,https://www.carpages.ca/used-cars/british-columbia/victoria/2017-chevrolet-bolt-6127503/
2018 Mitsubishi Outlander,"GT PHEV, AWD, LOCAL, LOADED","47,014KM","$30,888",Grey,https://www.carpages.ca/used-cars/british-columbia/surrey/2018-mitsubishi-outlander-6127035/
2019 Honda Clarity,Plug-In Hybrid Touring Sedan,"5,612KM","$34,900",Grey,https://www.carpages.ca/used-cars/ontario/whitby/2019-honda-clarity-6126303/
2020 Chrysler Pacifica,Hybrid Limited  - Leather Seats,14KM,"$65,032",Brilliant black crystal pearl,https://www.carpages.ca/new-cars/british-columbia/surrey/2020-chrysler-pacifica-6125241/
2021 Jeep Wrangler,Rubicon Unlimited  - Leather Seats,12KM,"$70,952",Black Clear Coat,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-jeep-wrangler-6125238/
2020 Chrysler Pacifica,Hybrid Limited  - Leather Seats,40KM,"$65,002",Brilliant black crystal pearl,https://www.carpages.ca/new-cars/british-columbia/surrey/2020-chrysler-pacifica-6125229/
2018 Toyota RAV4,AWD Hybrid SE  - Navigation -  Sunroof,"87,620KM","$32,995",White,https://www.carpages.ca/used-cars/alberta/high-river/2018-toyota-rav4-6125202/
2019 Hyundai KONA,Electric ULTIMATE + GARANTIE+ NAVI +TOIT + CUIR +,"21,158KM","$36,989",Blanc,https://www.carpages.ca/used-cars/quebec/drummondville/2019-hyundai-kona-6123315/
2010 Toyota Prius,(WHOLESALE),"155,290KM","$6,900","""",https://www.carpages.ca/used-cars/prince-edward-island/charlottetown/2010-toyota-prius-6122664/
2018 Kia Optima,"Phev EX Premium Auto - One Owner, Clean Carfax!","58,916KM","$32,995",,https://www.carpages.ca/used-cars/ontario/oakville/2018-kia-optima-6121113/
2015 Kia Soul,EV ONE OWNER!,"35,191KM","$17,888",,https://www.carpages.ca/used-cars/ontario/oakville/2015-kia-soul-6121047/
2017 Chevrolet Bolt,EV Premier - ONE OWNER CLEAN CARFAX!,"66,190KM","$29,890",,https://www.carpages.ca/used-cars/ontario/oakville/2017-chevrolet-bolt-6121002/
2021 Jeep Wrangler,High Altitude,CALL,"$64,112.40",Silver,https://www.carpages.ca/new-cars/british-columbia/richmond/2021-jeep-wrangler-6120744/
2017 Fiat 500,E 500e - No Accdient / Nav / No Dealer Fees / Low Kms,"30,262KM","$15,717",Blue,https://www.carpages.ca/used-cars/british-columbia/richmond/2017-fiat-500-6120498/
2020 Ford Fusion Hybrid,Titanium,"38,856KM","$22,880",White,https://www.carpages.ca/used-cars/ontario/north-york/2020-ford-fusion-hybrid-6120096/
2018 Toyota RAV4,AWD Hybrid SE  - Navigation -  Sunroof,"59,938KM","$34,995",Blue,https://www.carpages.ca/used-cars/alberta/high-river/2018-toyota-rav4-6119691/
2013 Toyota Prius,"HYBRID,BLUETOOTH,BACKUP CAMERA,TINTED,CERTIFIED","185,000KM","$10,995",Silver,https://www.carpages.ca/used-cars/ontario/kitchener/2013-toyota-prius-6119673/
2021 RAM 1500,Limited Longhorn,30KM,"$83,575",Ivory Tri-Coat Pearl,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2021-ram-1500-6119553/
2021 Jeep Wrangler,High Altitude | Removable Hard Top |  Fwd. Collision Wrn. w/  Braking |,13KM,"$63,403",Billet Silver Metallic,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6119547/
2021 Hyundai KONA,Electric Ultimate  - Navigation - $308 B/W,CALL,"$55,961",Chalk White,https://www.carpages.ca/new-cars/ontario/nepean/2021-hyundai-kona-6118482/
2021 Hyundai KONA,Electric Ultimate  - Navigation - $309 B/W,CALL,"$56,161",Pulse Red,https://www.carpages.ca/new-cars/ontario/nepean/2021-hyundai-kona-6118410/
2014 Subaru XV Crosstrek,Hybrid Touring,"77,963KM","$15,995",Plasma Green,https://www.carpages.ca/used-cars/nova-scotia/halifax/2014-subaru-xv-crosstrek-6118218/
2020 Toyota Corolla,Hybrid HYBRID PREMIUM!,"1,791KM","$26,422",Blue,https://www.carpages.ca/used-cars/ontario/cobourg/2020-toyota-corolla-6118110/
2021 Jeep Wrangler,Willys Unlimited 4x4,15KM,"$54,501",Grey,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6117588/
2021 Jeep Wrangler,RUBICON UNLIMITED 4x4,22KM,"$64,195",Grey,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6117555/
2021 Jeep Wrangler,Sport 80th Anniversary Unlimited 4x4,10KM,"$54,905",Black,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6117540/
2021 Jeep Wrangler,Sport 80th Anniversary Unlimited 4x4,12KM,"$54,905",Green,https://www.carpages.ca/new-cars/manitoba/winnipeg/2021-jeep-wrangler-6117531/
2021 Toyota Highlander,Hybrid Limited,20KM,"$57,097",White,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-toyota-highlander-6117147/
2018 Mitsubishi Outlander,Phev SE PHEV! | ONE OWNER!,"65,205KM","$27,490",Black,https://www.carpages.ca/used-cars/ontario/bolton/2018-mitsubishi-outlander-6116880/
2018 Volkswagen Golf,e-Golf Comfortline 4 portes,"40,610KM","$23,495",Noir,https://www.carpages.ca/used-cars/quebec/trois-rivieres/2018-volkswagen-golf-6116520/
2021 Toyota Venza,XLE  - Cooled Seats -  Navigation - $285 B/W,CALL,"$46,957",Blueprint,https://www.carpages.ca/new-cars/ontario/ottawa/2021-toyota-venza-6116268/
2021 Toyota Prius,Prime Upgrade  - Navigation - $255 B/W,CALL,"$38,642",Platinum White,https://www.carpages.ca/new-cars/ontario/ottawa/2021-toyota-prius-6116262/
2021 Ford Explorer,LIMITED,CALL,"$55,999",STAR WHITE METALLIC TRI-COAT,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-ford-explorer-6116256/
2020 Ford Escape,Titanium Hybrid,20KM,"$41,163",Star White Tri-Coat,https://www.carpages.ca/new-cars/ontario/new-hamburg/2020-ford-escape-6115977/
2019 Ford F-150,XLT,"3,311KM","$37,499",RACE RED,https://www.carpages.ca/used-cars/ontario/new-hamburg/2019-ford-f-150-6115959/
2012 Ford Focus,SE,"73,162KM","$8,999",Grey,https://www.carpages.ca/used-cars/ontario/embrun/2012-ford-focus-6115902/
2016 Ford Econoline,Commercial Cutaway,"261,755KM","$15,995",White,https://www.carpages.ca/used-cars/ontario/mississauga/2016-ford-econoline-6115722/
2021 Hyundai KONA,Electric Preferred w/ Two-tone,CALL,"$49,389",Chalk Wht/blk,https://www.carpages.ca/new-cars/ontario/kanata/2021-hyundai-kona-6115029/
2017 Toyota Camry,HYBRID HYBRID XLE|TEXT.US|647.678.7778| NAVI|LEATHER|SUNROOF|,"112,386KM","$19,950",Black,https://www.carpages.ca/used-cars/ontario/mississauga/2017-toyota-camry-6114669/
2016 Tesla Model S,"75D AUTOPILOT, CARFAX CLEAN!","69,600KM","$58,400",Black,https://www.carpages.ca/used-cars/ontario/burlington/2016-tesla-model-s-6114630/
2018 Tesla Model 3,"PERFORMANCE STEALTH, EAP, FSD - FULL SELF DRIVE ACTIVATED","39,100KM","$74,450",Grey,https://www.carpages.ca/used-cars/ontario/burlington/2018-tesla-model-3-6114627/
2021 Toyota Prius,Prime Auto,90KM,"$35,419",Magnetic Grey Metallic,https://www.carpages.ca/new-cars/ontario/burlington/2021-toyota-prius-6114336/
2018 Toyota RAV4,Hybrid Limited,"46,739KM","$34,674",Blizzard Pearl,https://www.carpages.ca/used-cars/new-brunswick/moncton/2018-toyota-rav4-6114063/
2019 Honda Accord,Hybrid Touring,"59,109KM","$31,901","""",https://www.carpages.ca/used-cars/ontario/whitby/2019-honda-accord-6113985/
2020 Ford Escape,Hybrid Titanium,CALL,"$42,499",Magnetic,https://www.carpages.ca/new-cars/ontario/north-bay/2020-ford-escape-6113730/
2013 Lexus RX 450h,HYBRID,"98,000KM","$24,991",White,https://www.carpages.ca/used-cars/ontario/london/2013-lexus-rx-450h-6113043/
2015 Nissan Pathfinder,SV Hybrid,"159,129KM","$14,880",Black,https://www.carpages.ca/used-cars/ontario/scarborough/2015-nissan-pathfinder-6112815/
2021 Lexus RX 450h,F SPORT SERIES 3,90KM,"$75,422",Atomic Silver,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-rx-450h-6111663/
2021 Lexus UX,250h F Sport Series 2,90KM,"$51,372",Ultra White,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-ux-6111645/
2021 Lexus UX,250h F Sport Series 2,90KM,"$51,372",Ultra White,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-ux-6111636/
2019 Audi A7,Sportback Technik Quattro S-Line Bang & Olufsen Vented & Heated Seats,"13,925KM","$73,889",White,https://www.carpages.ca/used-cars/ontario/thornhill/2019-audi-a7-6110835/
2020 Mercedes-Benz E-Class,AMG E 53 4MATIC+ Burmester Panoramic Roof,"14,177KM","$89,987",Gray,https://www.carpages.ca/used-cars/ontario/thornhill/2020-mercedes-benz-e-class-6110832/
2020 RAM 1500,Longhorn,"10,002KM","$66,490",RED PEARL,https://www.carpages.ca/used-cars/nova-scotia/halifax/2020-ram-1500-6110625/
2018 Audi A3,e-tron 1.4T Progressiv,"24,430KM","$35,495",,https://www.carpages.ca/used-cars/ontario/hamilton/2018-audi-a3-6110547/
2016 Tesla Model X,"90D, 6 Passenger, Premium Pkg, Subzero Weather!!","57,800KM","$84,900",Black,https://www.carpages.ca/used-cars/british-columbia/surrey/2016-tesla-model-x-6110127/
2020 Ford F-250,Super Duty SRW XL,CALL,"$40,984",Oxford White,https://www.carpages.ca/new-cars/ontario/thornhill/2020-ford-f-250-6109782/
2020 Ford F-250,Super Duty SRW XL,CALL,"$40,984",Oxford White,https://www.carpages.ca/new-cars/ontario/thornhill/2020-ford-f-250-6109779/
2018 Ford Focus,SE,"28,401KM","$14,449",SHADOW BLACK,https://www.carpages.ca/used-cars/ontario/new-hamburg/2018-ford-focus-6109227/
2019 Nissan Leaf,"SV, 40 KWH, NAVI, CAMÉRA, GARANTIE!","33,343KM","$26,800",Rouge,https://www.carpages.ca/used-cars/quebec/magog/2019-nissan-leaf-6109143/
2021 Ford F-150,XLT,CALL,"$58,390",Oxford White,https://www.carpages.ca/new-cars/ontario/mississauga/2021-ford-f-150-6108930/
2021 Ford F-150,Lariat,CALL,"$75,715",Agate Black,https://www.carpages.ca/new-cars/ontario/mississauga/2021-ford-f-150-6108915/
2021 Ford F-150,Lariat,CALL,"$67,605",Agate Black,https://www.carpages.ca/new-cars/ontario/mississauga/2021-ford-f-150-6108906/
2021 Ford F-150,Lariat,CALL,"$74,186",Carbonized Grey,https://www.carpages.ca/new-cars/ontario/mississauga/2021-ford-f-150-6108900/
2020 Kia NIRO,EX,15KM,"$32,219",Blue,https://www.carpages.ca/new-cars/ontario/pickering/2020-kia-niro-6108507/
2020 Kia NIRO,Hybrid L,10KM,"$28,520",Snow White Pearl,https://www.carpages.ca/new-cars/ontario/kitchener/2020-kia-niro-6106968/
2015 Kia Optima,LX / HYBRID / BACK UP CAM / HEATED SEATS /,"179,981KM","$10,500",Silver,https://www.carpages.ca/used-cars/ontario/hamilton/2015-kia-optima-6105486/
2021 Jeep Wrangler,ALTITUDE,1KM,"$57,759",White,https://www.carpages.ca/new-cars/northwest-territories/yellowknife/2021-jeep-wrangler-6105450/
2019 Toyota Prius,"Technology 11.6"" Navigation, Reverse Camera, Leather, SafetySense, Heated Seats+Steering & More","15,000KM","$29,975",Silver,https://www.carpages.ca/used-cars/ontario/guelph/2019-toyota-prius-6104316/
2019 Hyundai IONIQ,Electric PREFERRED **ELECTRIQUE**,"56,789KM","$23,498",Argent,https://www.carpages.ca/used-cars/quebec/st-eustache/2019-hyundai-ioniq-6103359/
2012 Toyota Highlander,HYBRID Limited NAVI | JBL | Sunroof | Leather,"132,000KM","$22,490",Grey,https://www.carpages.ca/used-cars/ontario/waterloo/2012-toyota-highlander-6103089/
2021 Lexus NX 300h,Executive Package,90KM,"$63,322",Atomic Silver,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-nx-300h-6102984/
2021 Lexus UX,250H Luxury Package,90KM,"$47,872",08Y6 - GRECIAN WATER,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-ux-6102966/
2020 Ford Escape,Hybrid Titanium,CALL,"$40,499",Magnetic Metallic,https://www.carpages.ca/new-cars/ontario/kingston/2020-ford-escape-6102252/
2018 Ford F-150,XLT,"39,908KM","$36,854",,https://www.carpages.ca/used-cars/ontario/bracebridge/2018-ford-f-150-6102204/
2020 Ford Transit,Passenger Wagon XLT,12KM,"$68,074",Black,https://www.carpages.ca/new-cars/ontario/niagara-falls/2020-ford-transit-6101793/
2020 Volkswagen Golf,e-Golf 100% Électrique Comfortline Cuir Mags Caméra *Véhicule neuf*,50KM,"$26,495",Bleu,https://www.carpages.ca/used-cars/quebec/shawinigan/2020-volkswagen-golf-6101745/
2019 Nissan Leaf,SV+CAM/RECUL+VOLANTS/SIEG/CHAUFF+BLUETHOOTH+MAGS,"7,743KM","$28,459",Blanc,https://www.carpages.ca/used-cars/quebec/laval/2019-nissan-leaf-6101466/
2014 BMW i3,w/Range Extender,"67,000KM","$21,800",Pearl Pink Wrap [pink],https://www.carpages.ca/used-cars/british-columbia/richmond/2014-bmw-i3-6101322/
2018 Smart fortwo,PASSION EV NAVIGATION AND REAR VIEW CAMERA,"16,560KM","$16,400",White,https://www.carpages.ca/used-cars/ontario/burlington/2018-smart-fortwo-6101055/
2018 Smart fortwo,PASSION EV NAVIGATION AND REAR VIEW CAMERA,"15,950KM","$16,400",White,https://www.carpages.ca/used-cars/ontario/burlington/2018-smart-fortwo-6101013/
2015 Tesla Model S,"85D AUTOPILOT, SUB ZERO, GREY INTERIOR!","132,600KM","$49,400",Black,https://www.carpages.ca/used-cars/ontario/burlington/2015-tesla-model-s-6100947/
2021 Hyundai KONA,Electric,CALL,"$55,938.20",PHANTOM BLACK,https://www.carpages.ca/new-cars/ontario/toronto/2021-hyundai-kona-6099384/
2021 Hyundai KONA,Electric,CALL,"$55,938.20",Chalk White,https://www.carpages.ca/new-cars/ontario/toronto/2021-hyundai-kona-6099387/
2019 Tesla Model X,P100D,"17,528KM","$127,888",White,https://www.carpages.ca/used-cars/ontario/north-york/2019-tesla-model-x-6098523/
2020 Chrysler Pacifica,Hybrid Limited  - Leather Seats,16KM,"$60,080",Ceramic Grey Clear Coat,https://www.carpages.ca/new-cars/british-columbia/surrey/2020-chrysler-pacifica-6096579/
2019 Nissan Leaf,SV  Electric/ Low KM/ Accident Free/ Local,"10,235KM","$31,800",Red,https://www.carpages.ca/used-cars/british-columbia/surrey/2019-nissan-leaf-6096573/
2020 Chrysler Pacifica,Hybrid Limited  - Leather Seats,12KM,"$64,727",Bright White,https://www.carpages.ca/new-cars/british-columbia/surrey/2020-chrysler-pacifica-6096561/
2020 Chrysler Pacifica,Hybrid Limited  - Leather Seats,20KM,"$64,827",Luxury White Pearl Coat,https://www.carpages.ca/new-cars/british-columbia/surrey/2020-chrysler-pacifica-6096543/
2017 Ford Fusion,Energi 4DR SDN SE LUXURY,"38,953KM","$18,186",Black,https://www.carpages.ca/used-cars/ontario/chatham/2017-ford-fusion-6096033/
2021 Toyota Venza,XLE  - Cooled Seats -  Navigation,CALL,"$46,789",Coastal Gray Metallic,https://www.carpages.ca/new-cars/manitoba/steinbach/2021-toyota-venza-6095838/
2020 RAM 1500,"Limited 4x4 Crew Cab 5'7"" Box Harman Kardon RAM Box Panoramic Sunroof Navigation","29,881KM","$66,196",Red,https://www.carpages.ca/used-cars/ontario/thornhill/2020-ram-1500-6095598/
2019 Honda Insight,Touring,"10,931KM","$27,558",Red,https://www.carpages.ca/used-cars/newfoundland-and-labrador/st-john-s/2019-honda-insight-6095472/
2021 Hyundai KONA,Electric PREFERRED NEUF!,375KM,"$37,395",Blanc,https://www.carpages.ca/used-cars/quebec/st-georges/2021-hyundai-kona-6095292/
